epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.3839,0.80871,1.03537,1.1351,0.52702,1,0.82917,0.74625,0.6134,1.28017,1.00797,0.000214213,0.000214213,0.000214213
43,43.3893,0.76905,0.97406,1.11379,0.61754,1,0.91208,0.78771,0.68483,1.156,1.0591,0.000214546,0.000214546,0.000214546
44,44.3175,0.7311,1.0389,1.1302,0.61754,1,0.91208,0.78771,0.68483,1.156,1.0591,0.000214646,0.000214646,0.000214646
45,45.3136,0.7298,0.98317,1.14841,0.5005,0.99638,0.91208,0.77113,0.70424,1.0744,1.06832,0.000214513,0.000214513,0.000214513
46,46.2661,0.76371,1.02907,1.12484,0.5005,0.99638,0.91208,0.77113,0.70424,1.0744,1.06832,0.000214147,0.000214147,0.000214147
47,47.382,0.74174,1.00546,1.09787,0.8381,0.83333,0.91208,0.78771,0.61841,0.88584,1.02184,0.000213548,0.000213548,0.000213548
48,48.3198,0.70732,0.91134,1.06885,0.8381,0.83333,0.91208,0.78771,0.61841,0.88584,1.02184,0.000212716,0.000212716,0.000212716
49,49.3883,0.76619,0.98995,1.07766,0.85242,0.83333,0.995,0.8955,0.4748,0.66556,0.95784,0.000211652,0.000211652,0.000211652
50,50.5412,0.84587,0.92098,1.18988,0.85242,0.83333,0.995,0.8955,0.4748,0.66556,0.95784,0.000210354,0.000210354,0.000210354
51,51.5784,0.80105,0.92965,1.15932,0.86711,0.83333,0.995,0.8955,0.4985,0.64162,0.97357,0.000208824,0.000208824,0.000208824
52,52.5599,0.875,0.93993,1.23516,0.86711,0.83333,0.995,0.8955,0.4985,0.64162,0.97357,0.00020706,0.00020706,0.00020706
53,53.7441,0.65659,0.87592,1.03224,0.86711,0.83333,0.995,0.8955,0.4985,0.64162,0.97357,0.000205064,0.000205064,0.000205064
54,55.0239,0.86658,0.96233,1.24729,0.85842,0.83333,0.995,0.86233,0.63002,0.71002,1.06277,0.000202834,0.000202834,0.000202834
55,55.9895,0.77461,0.90049,1.10457,0.85842,0.83333,0.995,0.86233,0.63002,0.71002,1.06277,0.000200372,0.000200372,0.000200372
56,57.1435,0.7005,0.83136,1.10149,0.85842,0.83333,0.995,0.86233,0.63002,0.71002,1.06277,0.000197676,0.000197676,0.000197676
57,58.1249,0.6934,0.82577,1.08288,0.75494,0.83333,0.82917,0.68821,0.73361,0.87971,1.11882,0.000194748,0.000194748,0.000194748
58,59.0614,0.76047,0.85307,1.11307,0.75494,0.83333,0.82917,0.68821,0.73361,0.87971,1.11882,0.000191587,0.000191587,0.000191587
